run,success,final_mass,rank,elapsed_seconds,return_code,error
52,True,26.39273736046388,2,20.562356,0,
53,True,29.105407751071976,2,21.606673,0,
54,True,39.7775899608631,2,21.411168,0,
55,True,3.7943864729798267,4,18.834135,0,
56,True,46.17397900675687,1,19.753619,0,
57,True,7.21188115249905,2,19.736126,0,
58,True,1.4717678424237408,6,19.990539,0,
59,True,2.356206507755579,5,22.986732,0,
60,True,56.78153119703241,1,20.730736,0,
61,True,2.314897508027833,6,22.243878,0,
62,True,2.3012788139929063,4,20.212162,0,
63,True,2.4911418503104987,4,20.720952,0,
64,True,1.1930191656769846,6,20.026056,0,
65,True,39.05829280078577,2,21.081947,0,
66,True,0.0,7,21.231842,0,
67,True,0.85162833,8,21.006794,0,
68,True,1.9146195976191265,6,20.844394,0,
69,True,4.740762565197067,3,20.139686,0,
70,True,1.8864566948426562,6,21.083967,0,
71,True,50.043740300925016,1,19.491865,0,
72,True,0.9971132453540124,7,20.520159,0,
